msgID,fromID,message,toUserID,toGroupID,dateSent
104,ssr36,'Why do we only ask questions?',ap63,NULL
105,kw65,'The weather is great',mmm47,NULL
106,mmh0,'The weather is great',bbr50,NULL
107,ap63,'Ahhhhhhhhhhhhhhhhhhhhhhhhhhhh',jk88,NULL
108,dh9,'Why do we only ask questions?',NULL,2
109,ssa61,'What's crackin g?',NULL,8
110,bbh26,'What's crackin g?',sy86,NULL
111,db40,'What's new?',ppf34,NULL
112,cl75,'Ayo fam',NULL,10
113,gp32,'What's good?',kw65,NULL
114,ls67,'Hey what's up?',kh48,NULL
115,bbw62,'The weather is great',yw82,NULL
116,ol89,'Ahhhhhhhhhhhhhhhhhhhhhhhhhhhh',llb39,NULL
117,sm7,'How have you been?',NULL,1
118,eeh44,'I like coffee',cw10,NULL
119,rrp18,'How bout them sports?',db40,NULL
120,ssr95,'What's new?',ol89,NULL
121,ag83,'Ayo fam',ssm6,NULL
122,sb15,'I love you',mh25,NULL
123,rrr81,'Hey what's up?',ssm6,NULL
124,kkg64,'Ahhhhhhhhhhhhhhhhhhhhhhhhhhhh',kks24,NULL
125,kkb94,'The weather is great',NULL,9
126,am14,'Ayo fam',bbb52,NULL
127,ppf34,'What's happenin?',NULL,5
128,ca57,'Hey there cutie! wanna see more ;) add me on snapchat',gw68,NULL
129,eg60,'I love you',ssm6,NULL
130,ssm6,'What's happenin?',ttd66,NULL
131,br97,'What's happenin?',NULL,6
132,ggj91,'Hey there cutie! wanna see more ;) add me on snapchat',NULL,4
133,sy86,'What's goin on?',mmh0,NULL
134,ggc98,'Hey what's up?',kw65,NULL
135,tp16,'Hey there cutie! wanna see more ;) add me on snapchat',hr17,NULL
136,nnm69,'Ayo fam',ggp42,NULL
137,mb21,'I hate rain and traffic',am14,NULL
138,tg58,'The weather is great',NULL,8
139,dc22,'I like coffee',NULL,6
140,wwb11,'What's goin on?',mb21,NULL
141,jk88,'How bout them sports?',kw65,NULL
142,kkj73,'Ahhhhhhhhhhhhhhhhhhhhhhhhhhhh',cj35,NULL
143,llm93,'Hey what's up?',ssa87,NULL
144,kh48,'What's good?',ccl46,NULL
145,bbb52,'How bout them sports?',yw82,NULL
146,rc53,'I hate rain and traffic',ob23,NULL
147,bbr50,'Hey what's up?',ggc98,NULL
148,kks24,'What's crackin g?',ssr95,NULL
149,dt72,'What's good?',ggp42,NULL
150,lb45,'Ayo fam',kkb94,NULL
151,ssm49,'The weather is great',NULL,7
152,ttd66,'Hey there cutie! wanna see more ;) add me on snapchat',jk88,NULL
153,cw10,'What's happenin?',rrs77,NULL
154,as54,'Why do we only ask questions?',br97,NULL
155,aa41,'What's goin on?',dc22,NULL
156,rs96,'What's good?',NULL,6
157,cc33,'What's goin on?',ls67,NULL
158,ttw1,'What's crackin g?',rrs77,NULL
159,bj74,'What's happenin?',dt30,NULL
160,st85,'Ayo fam',cl75,NULL
161,ssh37,'I love you',ttd66,NULL
162,jg43,'Ayo fam',br97,NULL
163,ec99,'What's happenin?',rc53,NULL
164,cch79,'The weather is great',gp32,NULL
165,ssa87,'How bout them sports?',ccp31,NULL
166,hhg19,'How have you been?',NULL,7
167,dr38,'What's new?',gw68,NULL
168,hr17,'I love you',dh9,NULL
169,eed90,'I love you',NULL,2
170,pm71,'How have you been?',aap78,NULL
171,ggp42,'Hey what's up?',llm93,NULL
172,cj35,'Ayo fam',lle55,NULL
173,aap78,'The weather is great',ssm49,NULL
174,ob23,'I hate rain and traffic',tp16,NULL
175,llb39,'What's good?',NULL,5
176,ke51,'What's happenin?',sw80,NULL
177,llt92,'How bout them sports?',NULL,4
178,gw68,'I love you',dt30,NULL
179,lle55,'The weather is great',st85,NULL
180,yw82,'Ayo fam',ppr5,NULL
181,kn27,'Hey what's up?',kkb94,NULL
182,vw29,'What's new?',NULL,9
183,ppr5,'Why do we only ask questions?',bbw62,NULL
184,hhm76,'What's crackin g?',ca57,NULL
185,ms70,'Ahhhhhhhhhhhhhhhhhhhhhhhhhhhh',NULL,8
186,ccl46,'What's happenin?',ms70,NULL
187,mc59,'How have you been?',NULL,3
188,dl84,'How have you been?',sw80,NULL
189,rrs77,'What's goin on?',ssa61,NULL
190,ccp31,'Hey there cutie! wanna see more ;) add me on snapchat',NULL,7
191,iit8,'Hey what's up?',br97,NULL
192,hp20,'How bout them sports?',ec99,NULL
193,mk13,'I hate rain and traffic',ob23,NULL
194,sw80,'Ahhhhhhhhhhhhhhhhhhhhhhhhhhhh',NULL,4
195,mmm47,'How have you been?',ap63,NULL
196,dt30,'Why do we only ask questions?',NULL,8
197,if2,'The weather is great',cw10,NULL
198,eec3,'Why do we only ask questions?',dt72,NULL
199,ccc12,'How bout them sports?',ca57,NULL
200,oow28,'I hate rain and traffic',ddr56,NULL
201,gj4,'What's goin on?',lle55,NULL
202,mh25,'Hey what's up?',rc53,NULL
203,ddr56,'I like coffee',gj4,NULL
204,ssr36,'Hey what's up?',sm7,NULL
205,kw65,'What's crackin g?',NULL,7
206,mmh0,'Why do we only ask questions?',NULL,7
207,ap63,'What's new?',am14,NULL
208,dh9,'I love you',NULL,8
209,ssa61,'I hate rain and traffic',NULL,10
210,bbh26,'How bout them sports?',NULL,9
211,db40,'I love you',bbr50,NULL
212,cl75,'What's happenin?',NULL,3
213,gp32,'Hey what's up?',jk88,NULL
214,ls67,'Why do we only ask questions?',ke51,NULL
215,bbw62,'What's goin on?',tp16,NULL
216,ol89,'How have you been?',bbb52,NULL
217,sm7,'I love you',vw29,NULL
218,eeh44,'I hate rain and traffic',nnm69,NULL
219,rrp18,'How bout them sports?',mc59,NULL
220,ssr95,'What's goin on?',br97,NULL
221,ag83,'Ayo fam',NULL,9
222,sb15,'Ayo fam',dr38,NULL
223,rrr81,'Hey there cutie! wanna see more ;) add me on snapchat',pm71,NULL
224,kkg64,'The weather is great',kks24,NULL
225,kkb94,'Hey what's up?',dr38,NULL
226,am14,'How have you been?',cw10,NULL
227,ppf34,'Ahhhhhhhhhhhhhhhhhhhhhhhhhhhh',ssm49,NULL
228,ca57,'Ayo fam',ggp42,NULL
229,eg60,'I like coffee',kkg64,NULL
230,ssm6,'Hey there cutie! wanna see more ;) add me on snapchat',sb15,NULL
231,br97,'What's crackin g?',NULL,3
232,ggj91,'Hey there cutie! wanna see more ;) add me on snapchat',NULL,5
233,sy86,'Ahhhhhhhhhhhhhhhhhhhhhhhhhhhh',yw82,NULL
234,ggc98,'What's happenin?',NULL,8
235,tp16,'Why do we only ask questions?',NULL,2
236,nnm69,'Why do we only ask questions?',NULL,4
237,mb21,'How bout them sports?',kw65,NULL
238,tg58,'Ahhhhhhhhhhhhhhhhhhhhhhhhhhhh',ppf34,NULL
239,dc22,'How bout them sports?',ccc12,NULL
240,wwb11,'I hate rain and traffic',rc53,NULL
241,jk88,'What's crackin g?',kkj73,NULL
242,kkj73,'I hate rain and traffic',NULL,1
243,llm93,'How have you been?',ag83,NULL
244,kh48,'How have you been?',nnm69,NULL
245,bbb52,'Hey there cutie! wanna see more ;) add me on snapchat',NULL,2
246,rc53,'I love you',kh48,NULL
247,bbr50,'What's good?',ggp42,NULL
248,kks24,'How bout them sports?',NULL,6
249,dt72,'Why do we only ask questions?',NULL,5
250,lb45,'The weather is great',nnm69,NULL
251,ssm49,'What's crackin g?',NULL,6
252,ttd66,'What's goin on?',ke51,NULL
253,cw10,'Hey there cutie! wanna see more ;) add me on snapchat',tg58,NULL
254,as54,'Ayo fam',NULL,3
255,aa41,'Why do we only ask questions?',NULL,8
256,rs96,'What's goin on?',cj35,NULL
257,cc33,'What's crackin g?',NULL,10
258,ttw1,'I like coffee',NULL,4
259,bj74,'Hey what's up?',ccc12,NULL
260,st85,'How have you been?',NULL,3
261,ssh37,'What's goin on?',lb45,NULL
262,jg43,'What's goin on?',ddr56,NULL
263,ec99,'Why do we only ask questions?',kn27,NULL
264,cch79,'What's crackin g?',kkb94,NULL
265,ssa87,'Ayo fam',ls67,NULL
266,hhg19,'Why do we only ask questions?',NULL,5
267,dr38,'Hey there cutie! wanna see more ;) add me on snapchat',sb15,NULL
268,hr17,'Hey what's up?',NULL,2
269,eed90,'Why do we only ask questions?',NULL,10
270,pm71,'How have you been?',ccl46,NULL
271,ggp42,'Hey what's up?',aa41,NULL
272,cj35,'What's goin on?',NULL,4
273,aap78,'What's new?',NULL,9
274,ob23,'I like coffee',NULL,3
275,llb39,'The weather is great',NULL,7
276,ke51,'I hate rain and traffic',NULL,3
277,llt92,'What's good?',NULL,5
278,gw68,'What's happenin?',mh25,NULL
279,lle55,'Hey there cutie! wanna see more ;) add me on snapchat',eed90,NULL
280,yw82,'What's goin on?',NULL,1
281,kn27,'How bout them sports?',NULL,7
282,vw29,'I love you',rc53,NULL
283,ppr5,'What's goin on?',mc59,NULL
284,hhm76,'Ahhhhhhhhhhhhhhhhhhhhhhhhhhhh',NULL,1
285,ms70,'I love you',sy86,NULL
286,ccl46,'How have you been?',ggj91,NULL
287,mc59,'Ahhhhhhhhhhhhhhhhhhhhhhhhhhhh',NULL,9
288,dl84,'How have you been?',NULL,1
289,rrs77,'What's good?',dl84,NULL
290,ccp31,'What's happenin?',tp16,NULL
291,iit8,'Ayo fam',mb21,NULL
292,hp20,'What's crackin g?',kn27,NULL
293,mk13,'What's good?',sw80,NULL
294,sw80,'What's crackin g?',sb15,NULL
295,mmm47,'Hey there cutie! wanna see more ;) add me on snapchat',cw10,NULL
296,dt30,'What's happenin?',wwb11,NULL
297,if2,'Hey what's up?',if2,NULL
298,eec3,'Why do we only ask questions?',gw68,NULL
299,ccc12,'I like coffee',gj4,NULL
300,oow28,'How bout them sports?',kks24,NULL
